,Date,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
0,2019-05-05,BAL,236.2,1060,5.97,264,59,3,173,157,62,87,2,17,201,.279,.347,.544,.373
1,2019-05-05,CHW,227.0,1038,5.83,255,46,3,157,147,44,117,6,8,236,.284,.368,.489,.363
2,2019-05-05,TEX,216.1,961,5.20,219,49,3,131,125,33,103,3,15,195,.264,.352,.449,.343
3,2019-05-05,DET,203.2,892,5.04,215,45,2,121,114,29,86,4,10,189,.274,.350,.447,.341
4,2019-05-05,SEA,241.2,1057,4.66,256,61,3,145,125,45,82,4,9,235,.268,.329,.480,.341
5,2019-05-05,LAA,234.0,1030,5.27,226,43,6,142,137,44,107,2,13,229,.251,.337,.459,.340
6,2019-05-05,OAK,221.1,987,5.37,234,44,6,141,132,36,84,4,10,203,.268,.335,.455,.336
7,2019-05-05,KCR,255.0,1109,4.94,258,49,7,143,140,37,101,3,16,220,.263,.339,.440,.334
8,2019-05-05,MIL,253.0,1100,4.94,251,39,3,147,139,44,113,5,5,239,.259,.338,.441,.334
9,2019-05-05,COL,249.1,1075,4.91,249,51,7,139,136,38,96,6,7,219,.262,.330,.451,.330
10,2019-05-05,NYM,246.1,1083,5.04,236,52,5,149,138,37,115,8,10,255,.250,.336,.433,.329
11,2019-05-05,MIA,224.0,971,4.86,207,46,2,126,121,36,100,11,14,222,.245,.333,.432,.326
12,2019-05-05,PHI,249.2,1072,4.07,262,33,5,124,113,36,78,7,12,234,.271,.330,.428,.323
13,2019-05-05,MIN,227.0,974,4.24,224,41,0,116,107,33,80,1,12,212,.257,.325,.417,.320
14,2019-05-05,WSN,240.0,1040,4.80,231,55,4,136,128,34,89,6,13,265,.249,.322,.427,.320
15,2019-05-05,STL,236.0,999,4.31,206,38,5,119,113,45,92,6,11,248,.232,.311,.439,.319
16,2019-05-05,ATL,242.0,1056,4.20,224,44,2,130,113,31,104,6,15,248,.243,.328,.397,.314
17,2019-05-05,PIT,225.0,956,4.08,215,46,8,119,102,26,71,3,8,216,.248,.309,.409,.308
18,2019-05-05,CLE,219.0,924,3.86,196,46,2,98,94,31,78,2,7,238,.236,.306,.408,.307
19,2019-05-05,SFG,237.0,984,4.37,207,34,4,119,115,38,80,3,8,234,.234,.303,.411,.307
20,2019-05-05,TOR,221.1,949,4.15,191,48,4,116,102,28,103,8,5,193,.229,.316,.397,.307
21,2019-05-05,NYY,230.1,968,4.10,196,40,3,111,105,35,89,2,6,240,.227,.301,.402,.302
22,2019-05-05,BOS,233.0,961,3.86,196,46,6,108,100,26,88,1,10,264,.228,.307,.387,.301
23,2019-05-05,SDP,242.0,1018,3.83,211,45,3,112,103,34,79,1,9,243,.230,.295,.397,.297
24,2019-05-05,CIN,239.2,987,3.68,208,47,4,99,98,25,81,10,11,261,.235,.306,.382,.295
25,2019-05-05,LAD,243.1,1004,3.96,204,40,7,116,107,32,76,3,14,249,.227,.294,.393,.295
26,2019-05-05,ARI,238.0,985,3.33,199,54,5,95,88,25,80,6,12,247,.226,.298,.384,.293
27,2019-05-05,TBR,224.0,906,3.46,183,40,6,90,86,25,73,6,5,239,.223,.289,.379,.285
28,2019-05-05,HOU,229.0,927,3.81,177,42,4,101,97,34,69,0,6,227,.210,.273,.391,.284
29,2019-05-05,CHC,220.0,901,2.78,171,27,3,73,68,21,80,2,8,224,.213,.289,.333,.274
